lat = 40.828878612, lon = 14.19092574, alt = 35099.1 mm
lat = 40.828878713, lon = 14.19092566, alt = 35103.2 mm
lat = 40.828878846, lon = 14.190925592, alt = 35126.7 mm
lat = 40.828878884, lon = 14.190925533, alt = 35193.1 mm
lat = 40.828878942, lon = 14.190925527, alt = 35216.5 mm
lat = 40.82887901, lon = 14.190925595, alt = 35183.1 mm
lat = 40.828879055, lon = 14.190925692, alt = 35159.0 mm
lat = 40.828879079, lon = 14.190925764, alt = 35132.8 mm
lat = 40.82887912, lon = 14.190925807, alt = 35108.3 mm
lat = 40.828879142, lon = 14.190925819, alt = 35103.5 mm
lat = 40.82887918, lon = 14.190925865, alt = 35090.5 mm
lat = 40.828881142, lon = 14.190922568, alt = 30654.3 mm
lat = 40.828882093, lon = 14.19092293, alt = 35175.3 mm
lat = 40.828881562, lon = 14.190922769, alt = 36645.4 mm
lat = 40.828881219, lon = 14.190922847, alt = 37501.3 mm
lat = 40.828880682, lon = 14.19092303, alt = 38232.5 mm
lat = 40.828880129, lon = 14.190923312, alt = 38808.2 mm
lat = 40.828879749, lon = 14.19092356, alt = 39271.9 mm
lat = 40.828879405, lon = 14.190923751, alt = 39656.6 mm
lat = 40.828879092, lon = 14.190923974, alt = 39994.3 mm
lat = 40.828878779, lon = 14.190924188, alt = 40290.3 mm
lat = 40.828878506, lon = 14.190924353, alt = 40529.7 mm
lat = 40.828878246, lon = 14.190924473, alt = 40725.4 mm
lat = 40.828878001, lon = 14.190924533, alt = 40892.9 mm
lat = 40.828877815, lon = 14.190924561, alt = 41027.5 mm
lat = 40.828877706, lon = 14.190924521, alt = 41141.9 mm
lat = 40.828877621, lon = 14.19092443, alt = 41234.9 mm
lat = 40.828877573, lon = 14.190924277, alt = 41311.9 mm
lat = 40.828877504, lon = 14.190924105, alt = 41377.0 mm
lat = 40.828877394, lon = 14.190923948, alt = 41432.8 mm
lat = 40.828877182, lon = 14.190923772, alt = 41481.0 mm
lat = 40.828876915, lon = 14.19092357, alt = 41522.2 mm
lat = 40.828876624, lon = 14.190923331, alt = 41558.1 mm
lat = 40.828876361, lon = 14.190923098, alt = 41597.3 mm
lat = 40.828876111, lon = 14.190922894, alt = 41633.2 mm
lat = 40.828875836, lon = 14.190922745, alt = 41660.8 mm
lat = 40.828875567, lon = 14.190922627, alt = 41682.8 mm
lat = 40.828875319, lon = 14.190922513, alt = 41693.7 mm
lat = 40.828875114, lon = 14.190922414, alt = 41701.4 mm
lat = 40.828874925, lon = 14.190922362, alt = 41718.9 mm
lat = 40.828874746, lon = 14.19092231, alt = 41735.7 mm
lat = 40.828874559, lon = 14.190922276, alt = 41762.1 mm
lat = 40.828874682, lon = 14.190922209, alt = 41866.3 mm
lat = 40.828874972, lon = 14.190922154, alt = 42006.4 mm
lat = 40.828875354, lon = 14.190922096, alt = 42159.1 mm
lat = 40.828875875, lon = 14.190922096, alt = 42310.7 mm
lat = 40.828876477, lon = 14.190922105, alt = 42459.4 mm
lat = 40.828877083, lon = 14.190922138, alt = 42596.5 mm
lat = 40.828875089, lon = 14.190921197, alt = 43934.9 mm
